Date,Company,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GL Balance,IHUB Balance
2023-12-13 00:00:00,Gamma Inc,1023,325.64,AUD,2008,3011,387755.31,387990.04
2023-03-10 00:00:00,Gamma Inc,1042,75.5,EUR,2013,3009,5099.08,5056.25
2023-07-26 00:00:00,Beta Ltd,1023,442.09,CNY,2022,3014,391230.4,389572.77
2023-06-08 00:00:00,Epsilon Tech,1039,44.56,EUR,2003,3014,794343.9,797959.42
2023-12-25 00:00:00,Beta Ltd,1023,169.63,CAD,2004,3011,88088.89,88908.96
2023-09-10 00:00:00,Epsilon Tech,1004,717.17,EUR,2008,3012,54531.05,54703.810000000005
2023-02-27 00:00:00,Epsilon Tech,1005,86.13,GBP,2011,3014,1811991.96,1795427.97
2023-10-12 00:00:00,Gamma Inc,1005,31.89,NZD,2006,3011,258599.69,256664.37
2023-01-01 00:00:00,Gamma Inc,1031,405.8,GBP,2002,3015,867481.32,869833.73
2023-03-27 23:00:00,Theta Holdings,1010,108.44,GBP,2007,3002,67246.47,66933.71
2023-07-13 00:00:00,Epsilon Tech,1024,103.43,SEK,2000,3004,15215.1,15192.45
2023-02-25 00:00:00,Sigma Group,1034,63.41,AUD,2000,3000,1207742.6,1200682.08
2023-09-27 00:00:00,Delta Solutions,1046,69.21,CHF,2019,3007,11761534.46,11664291.170000002
2023-09-29 00:00:00,Gamma Inc,1026,107.93,CNY,2016,3009,55142.28,55411.92
2023-10-16 00:00:00,Epsilon Tech,1029,92.05,EUR,2013,3003,1195007.75,1184747.65
2023-07-17 00:00:00,Epsilon Tech,1007,124.6,GBP,2005,3018,17150.46,17088.379999999997
2023-03-31 00:00:00,Gamma Inc,1037,73.99,AUD,2009,3019,60870.29,61118.94
2023-04-24 00:00:00,Theta Holdings,1034,941.16,CNY,2013,3007,365008.19,368533.5
2023-02-15 00:00:00,Epsilon Tech,1019,62.45,CAD,2000,3011,125959.82,125575.58
2023-11-19 00:00:00,Delta Solutions,1026,186.69,NZD,2012,3014,82701.49,82939.73000000001
2023-02-10 00:00:00,Lambda Systems,1008,143.56,NZD,2013,3012,1848.0,1853.0
2023-08-13 00:00:00,Gamma Inc,1047,121.33,NZD,2016,3018,17652.98,17785.7
2023-02-22 00:00:00,Kappa Ventures,1043,100.87,EUR,2003,3012,41379.17,41284.59
2023-12-24 00:00:00,Lambda Systems,1037,287.29,JPY,2001,3002,284500.35,285576.00999999995
2023-08-04 00:00:00,Delta Solutions,1020,732.73,USD,2008,3005,32914.51,32827.3
2023-08-25 00:00:00,Kappa Ventures,1006,209.77,GBP,2001,3004,188659.17,189023.02000000002
2023-04-06 00:00:00,Lambda Systems,1034,136.6,SEK,2003,3001,505468.93,506152.82
2023-11-07 00:00:00,Sigma Group,1008,122.0,CHF,2003,3004,197863.38,196665.92
2023-04-28 00:00:00,Sigma Group,1028,588.83,CHF,2007,3015,13122.01,13144.32
2023-01-17 00:00:00,Alpha Corp,1015,21.69,JPY,2008,3001,29236.1,29228.75
2023-10-25 00:00:00,Sigma Group,1013,231.8,SEK,2015,3018,374418.63,377392.77
2023-03-14 00:00:00,Theta Holdings,1018,166.31,USD,2003,3008,4752.22,4769.780000000001
2023-01-21 00:00:00,Theta Holdings,1038,500.26,GBP,2014,3008,545663.43,543388.92
2023-04-25 00:00:00,Theta Holdings,1019,58.1,CNY,2017,3017,6702688.63,6676536.53
2023-02-17 00:00:00,Alpha Corp,1003,69.77,GBP,2002,3019,420312.37,420787.83
2023-08-25 00:00:00,Theta Holdings,1022,66.33,SEK,2001,3004,176298.75,176827.04
2023-07-26 00:00:00,Alpha Corp,1036,244.25,GBP,2015,3004,13791.99,13878.41
2023-02-04 00:00:00,Alpha Corp,1015,454.9,SEK,2012,3005,1687.26,1702.98
2023-07-03 00:00:00,Sigma Group,1045,161.79,EUR,2010,3003,118698.14,118285.38
2023-06-14 00:00:00,Gamma Inc,1017,130.88,SEK,2013,3002,261292.96,260529.13999999998
2023-04-19 00:00:00,Beta Ltd,1013,13.32,CNY,2006,3010,106141.32,105461.87000000001
2023-06-17 00:00:00,Delta Solutions,1026,67.53,SEK,2015,3001,7237.92,7200.67
2023-01-09 00:00:00,Kappa Ventures,1021,276.65,GBP,2019,3019,54653.96,54477.549999999996
2023-08-26 00:00:00,Epsilon Tech,1020,575.47,JPY,2003,3001,40215.9,40024.73
2023-05-12 00:00:00,Lambda Systems,1039,600.25,SEK,2013,3019,347785.77,349101.67000000004
2023-10-20 00:00:00,Kappa Ventures,1031,124.19,NZD,2016,3011,13929.46,13860.519999999999
2023-06-02 00:00:00,Theta Holdings,1045,136.69,EUR,2013,3001,345117.32,348065.54
2023-07-11 00:00:00,Theta Holdings,1046,30.76,GBP,2009,3012,81440.81,81257.02
2023-11-19 00:00:00,Epsilon Tech,1019,23.37,CAD,2013,3013,1158.48,1149.54
2023-04-21 00:00:00,Delta Solutions,1018,44.17,EUR,2019,3005,31745165.28,31882541.560000002
2023-07-21 00:00:00,Epsilon Tech,1015,69.92,SEK,2006,3004,16057.98,16217.34
2023-09-05 00:00:00,Theta Holdings,1029,91.14,CAD,2007,3007,387834.68,386582.2
2023-06-05 00:00:00,Epsilon Tech,1025,279.35,EUR,2008,3009,234717.19,232564.21
2023-04-04 00:00:00,Sigma Group,1039,63.02,AUD,2000,3008,22703511.01,22707430.520000003
2023-02-05 00:00:00,Sigma Group,1009,113.84,SEK,2003,3017,10855581.85,10842926.28
2023-05-19 00:00:00,Alpha Corp,1029,125.25,CNY,2001,3008,799203.63,804176.27
2023-09-06 00:00:00,Lambda Systems,1039,48.56,GBP,2007,3010,84614.5,84797.73
2023-10-04 00:00:00,Alpha Corp,1018,90.11,USD,2010,3000,174190.2,174415.32
2023-05-03 00:00:00,Epsilon Tech,1035,98.69,EUR,2000,3014,213030.33,212456.93
2023-08-09 00:00:00,Theta Holdings,1031,469.52,JPY,2003,3018,7797.02,7727.42
2023-09-23 00:00:00,Kappa Ventures,1024,353.61,EUR,2015,3008,192207.13,191727.68
2023-06-28 00:00:00,Theta Holdings,1009,277.66,JPY,2014,3004,502368.66,499445.99
2023-12-19 00:00:00,Sigma Group,1037,505.52,CHF,2019,3003,18776.82,18800.61
2023-11-25 00:00:00,Kappa Ventures,1026,126.77,CAD,2009,3004,3967327.42,3949893.3
2023-01-07 00:00:00,Delta Solutions,1026,24.72,AUD,2016,3014,8836.72,8923.49
2023-01-14 00:00:00,Alpha Corp,1045,189.96,EUR,2016,3010,234785.85,235693.85
2023-09-26 00:00:00,Alpha Corp,1031,63.71,CAD,2009,3006,60790.54,61072.13
2023-10-05 00:00:00,Lambda Systems,1030,55.56,NZD,2009,3012,172783.56,172409.98
2023-01-12 00:00:00,Gamma Inc,1034,86.7,GBP,2000,3015,1098711.24,1092162.24
2023-12-25 00:00:00,Beta Ltd,1029,75.23,SEK,2019,3014,886456.1,893833.95
2023-03-27 00:00:00,Beta Ltd,1045,166.0,CNY,2014,3017,164754.91,165081.89
2023-11-22 00:00:00,Delta Solutions,1008,49.3,NZD,2009,3011,117293.87,116746.29999999999
2023-05-31 00:00:00,Omega Services,1008,72.96,CNY,2012,3016,330135.73,332491.58999999997
2023-01-17 00:00:00,Gamma Inc,1049,185.59,GBP,2007,3000,158885.06,159204.91999999998
2023-08-14 00:00:00,Gamma Inc,1027,233.39,EUR,2018,3013,69832.62,70012.86
2023-06-17 00:00:00,Kappa Ventures,1049,63.26,NZD,2017,3018,455559.04,451957.62
2023-11-22 00:00:00,Omega Services,1004,428.75,NZD,2007,3001,161697.04,160734.45
2023-06-26 00:00:00,Beta Ltd,1008,259.29,CHF,2004,3009,116422.35,115766.59000000001
2023-06-14 00:00:00,Beta Ltd,1015,425.72,EUR,2006,3007,149908.72,150605.85
2023-10-30 00:00:00,Gamma Inc,1002,88.69,CAD,2007,3012,2229020.49,2210551.6700000004
2023-10-30 00:00:00,Theta Holdings,1041,80.84,USD,2002,3018,1993786.37,1997763.1500000001
2023-06-25 00:00:00,Theta Holdings,1008,325.16,JPY,2015,3017,120353.32,119256.43000000001
2023-07-11 00:00:00,Alpha Corp,1019,92.15,CNY,2018,3012,98913.63,98609.99
2023-07-30 00:00:00,Gamma Inc,1035,459.68,CNY,2012,3013,85573.44,85413.40000000001
2023-06-06 00:00:00,Kappa Ventures,1010,48.51,AUD,2014,3004,31131500.23,30963649.6
2023-01-02 00:00:00,Theta Holdings,1033,239.97,JPY,2007,3016,316924.11,319689.11
2023-11-29 00:00:00,Sigma Group,1030,425.55,AUD,2008,3001,2350119.63,2337529.4
2023-10-11 00:00:00,Lambda Systems,1022,55.28,NZD,2018,3000,79372.7,78937.18
2023-03-16 00:00:00,Delta Solutions,1011,41.53,EUR,2012,3001,19486.25,19374.82
2023-11-17 00:00:00,Lambda Systems,1046,115.08,SEK,2000,3019,321346.47,318638.49
2023-02-02 00:00:00,Beta Ltd,1040,155.41,NZD,2000,3001,605482.51,600663.89
2023-04-25 00:00:00,Omega Services,1036,106.7,CAD,2008,3003,189123.45,188025.99000000002
2023-05-18 00:00:00,Lambda Systems,1014,644.56,GBP,2006,3009,1985130.96,2944950.36
2023-08-04 00:00:00,Lambda Systems,1014,104.23,EUR,2001,3009,320834.71,321418.52
2023-04-10 00:00:00,Beta Ltd,1003,81.92,GBP,2004,3001,2864257.35,2861336.06
2023-07-11 00:00:00,Beta Ltd,1047,224.25,CAD,2015,3010,395784.79,398987.72
2023-09-19 00:00:00,Kappa Ventures,1042,382.76,CNY,2011,3018,354146.1,355973.94999999995
2023-08-26 00:00:00,Sigma Group,1043,244.92,AUD,2014,3007,48651.85,49089.29
2023-07-18 00:00:00,Theta Holdings,1024,570.79,EUR,2018,3001,21064.75,21154.1
2023-06-04 00:00:00,Epsilon Tech,1007,245.15,JPY,2008,3009,126247.48,125757.83
2023-06-30 00:00:00,Beta Ltd,1031,270.23,EUR,2017,3006,49445.16,49382.08
2023-02-21 00:00:00,Alpha Corp,1026,88.27,CAD,2014,3015,444234.48,444928.51
2023-02-25 00:00:00,Gamma Inc,1048,351.09,AUD,2015,3019,3701.92,3690.38
2023-01-17 00:00:00,Sigma Group,1001,280.68,CAD,2004,3011,1803434.99,1819235.92
2023-11-25 00:00:00,Theta Holdings,1021,213.9,USD,2000,3012,1251475.6,1239662.98
2023-11-04 00:00:00,Alpha Corp,1015,89.5,GBP,2012,3000,2668110.26,2682860.32
2023-11-01 00:00:00,Alpha Corp,1008,185.5,AUD,2010,3009,2811749.98,2834026.06
2023-05-07 00:00:00,Epsilon Tech,1023,149.32,CAD,2001,3011,86508.12,87096.23999999999
2023-07-11 00:00:00,Gamma Inc,1029,52.67,GBP,2008,3016,205430.82,204940.28
2023-09-13 00:00:00,Omega Services,1017,357.08,JPY,2004,3018,24192.78,23985.879999999997
2023-01-26 00:00:00,Beta Ltd,1025,437.64,GBP,2009,3016,300010.22,300276.61
2023-08-19 00:00:00,Epsilon Tech,1015,132.86,SEK,2017,3011,539871.44,541243.34
2023-02-18 00:00:00,Delta Solutions,1011,203.47,AUD,2009,3015,36376.28,36143.38
2023-09-06 00:00:00,Epsilon Tech,1046,143.28,CHF,2006,3014,19867.98,19812.21
2023-06-13 00:00:00,Theta Holdings,1012,157.3,CNY,2000,3008,136757.98,137422.26
2023-07-11 00:00:00,Kappa Ventures,1021,706.16,JPY,2013,3019,14152.76,14023.39
2023-04-19 00:00:00,Delta Solutions,1002,111.94,JPY,2019,3003,469794.19,467897.98
2023-11-15 00:00:00,Epsilon Tech,1023,91.4,EUR,2007,3008,22875.35,22850.14
2023-10-16 00:00:00,Theta Holdings,1037,861.66,AUD,2002,3001,3028366.12,3018668.4
2023-08-31 00:00:00,Kappa Ventures,1001,192.77,CNY,2011,3010,244530.74,244255.0
2023-01-11 00:00:00,Gamma Inc,1038,129.17,SEK,2007,3017,61878.7,62299.2
2023-08-28 00:00:00,Beta Ltd,1038,105.4,USD,2013,3007,10831.94,10737.75
2023-02-06 00:00:00,Beta Ltd,1003,247.82,CAD,2010,3007,2111.53,2129.84
2023-08-19 00:00:00,Alpha Corp,1018,233.98,SEK,2006,3001,35108.62,35184.25
2023-01-08 00:00:00,Kappa Ventures,1002,47.54,USD,2002,3002,106627.62,105964.01999999999
2023-01-23 00:00:00,Theta Holdings,1000,112.81,CNY,2011,3019,77269.61,76718.1
2023-10-13 00:00:00,Gamma Inc,1017,135.24,USD,2012,3008,66656.29,66839.81999999999
2023-03-15 00:00:00,Epsilon Tech,1037,597.1,GBP,2013,3004,51169.94,51138.18
2023-02-05 00:00:00,Beta Ltd,1033,79.5,CAD,2011,3002,8342.45,8278.400000000001
2023-10-19 00:00:00,Sigma Group,1017,263.38,USD,2002,3002,25981.21,26170.7
2023-10-12 00:00:00,Beta Ltd,1019,150.5,CAD,2013,3009,227888.25,228749.4
2023-08-04 00:00:00,Lambda Systems,1000,318.06,AUD,2007,3009,1181947.04,1189376.62
2023-07-23 00:00:00,Omega Services,1041,34.49,CHF,2008,3011,1023866.55,1032998.15
2023-08-18 00:00:00,Beta Ltd,1006,65.94,CNY,2007,3011,8806.67,8735.63
2023-11-14 00:00:00,Alpha Corp,1002,61.66,JPY,2010,3018,181305.7,181010.25
2023-03-15 00:00:00,Beta Ltd,1029,154.05,NZD,2000,3016,60583.82,60104.21
2023-03-21 00:00:00,Kappa Ventures,1022,26.97,GBP,2002,3011,179985.44,178497.43
2023-09-01 00:00:00,Delta Solutions,1048,16.84,EUR,2015,3018,2267154.93,2288794.62
2023-08-20 00:00:00,Kappa Ventures,1040,65.1,EUR,2014,3002,238253.39,236636.59000000003
2023-10-16 00:00:00,Sigma Group,1003,553.43,JPY,2003,3016,7178.98,7179.5199999999995
2023-09-25 00:00:00,Epsilon Tech,1004,32.45,SEK,2012,3002,5918781.48,5877585.210000001
2023-12-09 00:00:00,Omega Services,1028,19.13,JPY,2018,3010,202520.0,202073.28
2023-08-14 00:00:00,Lambda Systems,1039,248.81,CAD,2009,3018,68822.4,69228.86
2023-01-16 00:00:00,Sigma Group,1012,142.45,AUD,2014,3005,283812.38,285898.27
2023-01-01 00:00:00,Alpha Corp,1007,130.89,GBP,2011,3005,47629.36,47560.06
2023-09-29 00:00:00,Gamma Inc,1033,99.27,USD,2009,3018,129051.22,129666.68000000001
