Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHUB Balance
2025-06-14,Beta Ltd,ACC004,AU03,,PA004,SA005,10372.61,14811.9
2025-06-15,Epsilon,ACC005,AU05,EUR,PA001,SA001,10448.99,10893.08
2025-10-06,Delta Inc,ACC005,AU05,USD,PA004,SA005,10216.97,12593.09
2025-01-06,Delta Inc,ACC003,AU05,EUR,PA005,SA002,7950.75,14864.68
,Beta Ltd,ACC002,AU03,USD,PA001,SA001,12783.61,5610.04
2025-08-20,Epsilon,ACC003,AU03,EUR,PA004,SA004,10733.34,12000.14
2025-07-29,Gamma LLC,ACC004,AU04,GBP,PA001,SA002,9271.57,13805.11
2025-09-30,Alpha Inc,ACC003,AU04,JPY,PA005,SA003,14777.9,9517.81
2025-12-23,Gamma LLC,ACC003,AU05,INR,PA004,SA001,8128.81,8074.54
2025-10-02,Epsilon,ACC001,AU03,GBP,PA001,SA003,5692.25,13028.38
2025-10-14,Delta Inc,ACC002,AU01,INR,PA003,SA003,6777.79,13313.36
2025-03-04,Beta Ltd,ACC001,AU02,JPY,PA003,SA001,8789.07,7540.01
2025-01-10,Delta Inc,ACC002,AU02,GBP,PA001,SA005,8783.55,6766.8
2025-02-24,Delta Inc,ACC001,AU01,JPY,PA004,SA001,10781.05,14402.56
2025-04-23,Delta Inc,ACC005,AU01,,PA002,SA004,13873.12,5101.14
2025-03-16,Gamma LLC,ACC002,AU01,EUR,PA001,SA004,6702.03,13165.49
2025-12-17,Delta Inc,ACC005,AU01,USD,PA005,SA003,14648.71,9462.51
2025-12-24,Epsilon,ACC001,AU01,GBP,PA001,SA003,10728.64,14186.03
2025-09-28,Gamma LLC,ACC002,AU05,,PA005,SA001,14334.75,9725.28
2025-06-08,Epsilon,ACC002,AU03,INR,PA004,SA002,11666.59,12593.81
2025-12-15,Epsilon,ACC005,AU01,GBP,PA005,SA002,11120.07,9467.74
,Beta Ltd,ACC004,AU03,INR,PA003,SA005,9791.89,12926.57
2025-09-19,Delta Inc,ACC002,AU05,USD,PA003,SA004,5995.47,10803.93
2025-03-24,Alpha Inc,ACC001,AU03,,PA004,SA002,6560.34,5262.3
,Alpha Inc,ACC004,AU04,USD,PA003,SA004,14558.12,13489.99
2025-03-02,Delta Inc,ACC002,AU01,GBP,PA001,SA002,10684.33,9592.81
2025-05-20,Epsilon,ACC004,AU01,,PA005,SA004,8296.3,11073.79
2025-06-25,Beta Ltd,ACC005,AU02,JPY,PA002,SA005,10453.57,9683.63
2025-08-19,Epsilon,ACC004,AU02,GBP,PA001,SA005,7164.92,
2025-10-04,Epsilon,ACC005,AU03,INR,PA001,SA001,9647.2,14890.05
2025-10-17,Beta Ltd,ACC005,AU03,USD,PA005,SA004,9132.99,5005.76
2025-02-11,Beta Ltd,ACC003,AU05,JPY,PA001,SA005,12714.09,14685.85
2025-11-08,Alpha Inc,ACC005,AU02,EUR,PA003,SA001,7909.54,9095.9
2025-09-26,Beta Ltd,ACC001,AU05,INR,PA001,SA005,10825.16,14496.88
2025-07-16,Epsilon,ACC002,AU02,EUR,PA003,SA002,13328.12,13289.46
2025-09-05,Epsilon,ACC002,AU01,GBP,PA002,SA005,10728.46,14571.14
2025-07-03,Gamma LLC,ACC003,AU03,GBP,PA001,SA003,8350.15,10692.07
,Alpha Inc,ACC005,AU03,INR,PA003,SA004,8570.38,6696.49
2025-03-08,Epsilon,ACC004,AU05,GBP,PA004,SA003,12567.63,7756.42
,Delta Inc,ACC001,AU01,USD,PA005,SA001,6500.78,
2025-02-02,Delta Inc,ACC004,AU05,USD,PA003,SA005,6562.66,
2025-05-02,Alpha Inc,ACC001,AU04,GBP,PA001,SA004,9820.37,14666.51
2025-01-02,Beta Ltd,ACC005,AU01,JPY,PA004,SA001,7476.01,5374.15
2025-01-10,Alpha Inc,ACC004,AU03,JPY,PA005,SA001,7440.9,14965.04
2025-11-12,Alpha Inc,ACC003,AU05,GBP,PA003,SA003,10463.49,8878.08
2025-05-09,Alpha Inc,ACC004,AU02,USD,PA004,SA001,14793.27,
2025-08-18,Beta Ltd,ACC002,AU05,JPY,PA004,SA002,9922.58,13098.02
2025-09-08,Alpha Inc,ACC004,AU04,GBP,PA002,SA001,7816.97,14796.59
2025-02-09,Delta Inc,ACC002,AU05,INR,PA002,SA005,7518.53,6104.42
2025-03-31,Beta Ltd,ACC005,AU01,GBP,PA001,SA003,8020.39,11408.33
2025-11-07,Delta Inc,ACC001,AU05,EUR,PA003,SA002,9085.68,9974.45
2025-08-04,Alpha Inc,ACC004,AU01,USD,PA002,SA004,7244.05,14941.85
2025-06-30,Beta Ltd,ACC002,AU01,USD,PA002,SA005,13744.04,7801.95
2025-07-11,Alpha Inc,ACC004,AU04,EUR,PA005,SA001,5910.27,9008.12
,Beta Ltd,ACC004,AU04,,PA002,SA005,6207.74,11526.28
2025-03-04,Delta Inc,ACC003,AU05,INR,PA003,SA001,11446.92,5455.72
2025-12-08,Epsilon,ACC002,AU01,GBP,PA001,SA004,8868.13,6800.38
2025-12-06,Alpha Inc,ACC003,AU05,,PA004,SA005,11481.52,11855.19
2025-04-20,Alpha Inc,ACC003,AU03,JPY,PA003,SA001,6644.86,12660.35
2025-11-06,Delta Inc,ACC005,AU05,INR,PA004,SA001,7033.26,13010.92
2025-01-14,Gamma LLC,ACC003,AU04,USD,PA003,SA002,13557.6,6483.32
2025-06-11,Alpha Inc,ACC005,AU02,EUR,PA005,SA002,11870.3,9843.96
2025-10-26,Epsilon,ACC002,AU01,EUR,PA002,SA004,8945.91,10912.89
2025-01-21,Epsilon,ACC004,AU05,INR,PA002,SA002,12276.96,10449.17
2025-08-05,Alpha Inc,ACC005,AU01,USD,PA005,SA004,9550.22,
2025-02-07,Gamma LLC,ACC003,AU02,USD,PA001,SA003,9079.38,7634.44
2025-03-29,Delta Inc,ACC004,AU02,GBP,PA003,SA003,14962.04,7573.0
2025-02-23,Epsilon,ACC001,AU02,GBP,PA004,SA001,7363.85,13153.43
2025-02-07,Delta Inc,ACC001,AU03,EUR,PA003,SA005,8760.23,13547.52
2025-07-02,Gamma LLC,ACC003,AU05,,PA002,SA001,9669.45,14120.52
2025-12-27,Beta Ltd,ACC001,AU01,EUR,PA003,SA002,5550.4,14927.14
2025-06-25,Beta Ltd,ACC003,AU01,USD,PA003,SA002,7050.73,12248.47
2025-07-23,Alpha Inc,ACC004,AU01,JPY,PA002,SA002,13966.92,6259.12
2025-04-06,Alpha Inc,ACC004,AU05,EUR,PA003,SA005,9331.26,5716.88
2025-11-29,Beta Ltd,ACC002,AU01,GBP,PA001,SA001,9209.86,10055.35
2025-10-01,Gamma LLC,ACC003,AU02,EUR,PA004,SA005,5476.72,5543.29
